DrawDate,Round,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber
25-Mar-2026,1,19,22,31,32,34,40,43,L6,Lotto4,3157
21-Mar-2026,1,5,10,18,28,34,53,46,L5,Lotto4,3156
18-Mar-2026,1,14,16,18,22,47,56,54,L5,Lotto4,3155
14-Mar-2026,1,10,30,36,44,45,58,59,L9,Lotto5,3154
11-Mar-2026,1,2,3,18,25,40,54,14,L9,Lotto5,3153
07-Mar-2026,1,9,37,39,40,47,51,19,L6,Lotto5,3152
04-Mar-2026,1,20,33,43,46,50,56,45,L6,Lotto5,3151
28-Feb-2026,1,12,15,22,28,31,32,23,L5,Lotto4,3150
25-Feb-2026,1,31,34,36,41,54,57,27,L5,Lotto4,3149
21-Feb-2026,1,2,14,24,33,37,40,19,L10,Lotto4,3148
18-Feb-2026,1,1,11,12,13,18,49,33,L10,Lotto4,3147
14-Feb-2026,1,10,13,27,50,54,56,14,L9,Lotto2,3146
11-Feb-2026,1,5,11,28,30,47,53,52,L9,Lotto2,3145
07-Feb-2026,1,7,25,27,46,52,59,40,L6,Lotto2,3144
04-Feb-2026,1,1,2,19,29,51,57,5,L6,Lotto2,3143
31-Jan-2026,1,7,8,17,25,37,40,11,L5,Lotto2,3142
28-Jan-2026,1,33,45,50,52,58,59,15,L5,Lotto2,3141
24-Jan-2026,1,1,4,8,23,34,57,29,L10,Lotto2,3140
21-Jan-2026,1,5,24,28,46,49,56,19,L10,Lotto2,3139
17-Jan-2026,1,12,26,30,32,39,58,4,L9,Lotto2,3138
14-Jan-2026,1,2,5,22,35,44,54,23,L9,Lotto2,3137
10-Jan-2026,1,5,6,13,18,22,53,9,L1,Arthur,3136
07-Jan-2026,1,3,9,20,33,45,50,12,L1,Arthur,3135
03-Jan-2026,1,6,20,34,38,47,48,4,L5,Lotto2,3134
31-Dec-2025,1,3,20,27,29,38,46,14,L5,Lotto2,3133
27-Dec-2025,1,20,36,40,43,51,55,21,L10,Lotto2,3132
24-Dec-2025,1,12,15,16,35,38,48,49,L10,Lotto2,3131
20-Dec-2025,1,2,25,27,34,45,52,47,L9,Lotto2,3130
17-Dec-2025,1,15,20,43,50,51,58,36,L9,Lotto2,3129
13-Dec-2025,1,18,22,24,41,53,56,59,L6,Lotto2,3128
10-Dec-2025,1,4,9,26,35,42,46,38,L6,Lotto2,3127
06-Dec-2025,1,5,7,10,17,32,42,40,L5,Lotto2,3126
03-Dec-2025,1,6,13,19,48,57,58,1,L5,Lotto2,3125
29-Nov-2025,1,2,6,9,16,38,48,46,L10,Lotto2,3124
26-Nov-2025,1,10,21,49,54,55,56,40,L10,Lotto2,3123
22-Nov-2025,1,9,11,14,43,49,59,35,L9,Lotto2,3122
19-Nov-2025,1,15,18,36,50,51,57,10,L9,Lotto2,3121
15-Nov-2025,1,9,11,27,44,48,52,25,L6,Lotto2,3120
12-Nov-2025,1,9,17,31,34,54,57,7,L6,Lotto2,3119
08-Nov-2025,1,2,3,42,45,46,47,44,L9,Lotto2,3118
05-Nov-2025,1,2,15,20,42,43,59,16,L9,Lotto2,3117
01-Nov-2025,1,17,18,31,36,39,51,29,L10,Lotto2,3116
29-Oct-2025,1,9,24,30,33,35,54,32,L10,Lotto2,3115
25-Oct-2025,1,4,9,28,40,42,59,55,L9,Lotto1,3114
22-Oct-2025,1,3,24,26,34,35,36,9,L9,Lotto1,3113
18-Oct-2025,1,6,39,43,52,58,59,19,L6,Lotto2,3112
15-Oct-2025,1,29,33,36,38,48,58,52,L6,Lotto2,3111
11-Oct-2025,1,11,17,25,31,51,54,53,L6,Lotto2,3110
08-Oct-2025,1,2,21,42,48,56,57,51,L5,Lotto2,3109
04-Oct-2025,1,6,8,12,33,49,59,42,L1,Lotto2,3108
01-Oct-2025,1,13,28,31,39,51,59,27,L1,Lotto2,3107
27-Sep-2025,1,15,23,24,28,37,41,59,L4,Lotto2,3106
24-Sep-2025,1,3,16,23,30,38,47,25,4,Lotto2,3105
20-Sep-2025,1,13,16,30,36,53,59,22,3,Lotto2,3104
17-Sep-2025,1,7,9,18,24,30,36,42,3,Lotto 2,3103
13-Sep-2025,1,1,26,36,49,53,54,10,2,Lotto 2,3102
10-Sep-2025,1,1,9,18,27,38,42,13,2,Lotto 2,3101
06-Sep-2025,1,10,22,37,40,45,57,24,1,Lotto 2,3100
03-Sep-2025,1,7,15,18,22,31,54,28,1,Lotto 2,3099
30-Aug-2025,1,6,10,19,20,43,59,16,4,Lotto 2,3098
27-Aug-2025,1,5,25,43,45,47,55,58,4,Lotto 2,3097
23-Aug-2025,1,7,30,38,42,54,59,5,3,Lotto 2,3096
20-Aug-2025,1,1,9,10,32,44,55,49,3,Lotto 2,3095
16-Aug-2025,1,1,11,15,19,45,48,37,2,Lotto 2,3094
13-Aug-2025,1,1,16,27,41,50,55,54,2,Lotto 2,3093
09-Aug-2025,1,2,27,29,38,44,51,23,3,Lotto 2,3092
06-Aug-2025,1,5,9,17,31,47,58,35,3,Lotto 2,3091
02-Aug-2025,1,33,1,5,10,30,50,56,4,Lotto 2,3090
30-Jul-2025,1,37,3,21,5,18,7,38,4,Lotto 2,3089
26-Jul-2025,1,28,42,24,57,23,9,18,1,Lotto 2,3088
23-Jul-2025,1,48,3,11,21,16,9,22,1,Lotto 2,3087
19-Jul-2025,1,25,46,5,7,29,40,15,2,Lotto 2,3086
16-Jul-2025,1,6,47,55,12,9,15,56,2,Lotto 2,3085
12-Jul-2025,1,41,11,25,4,51,17,14,1,Lotto 2,3084
09-Jul-2025,1,51,12,15,25,58,6,57,1,Lotto 2,3083
05-Jul-2025,1,45,37,43,9,18,12,15,10,Lancelot,3082
02-Jul-2025,1,34,51,54,55,11,4,57,10,Lancelot,3081
28-Jun-2025,1,17,40,22,47,38,16,4,9,Guinevere,3080
25-Jun-2025,1,21,54,14,49,16,42,41,9,Guinevere,3079
21-Jun-2025,1,58,31,13,12,10,6,15,10,Guinevere,3078
18-Jun-2025,1,44,8,15,49,31,38,59,10,Guinevere,3077
14-Jun-2025,1,42,36,48,59,8,20,46,9,Lancelot,3076
11-Jun-2025,1,47,53,35,13,42,8,39,9,Lancelot,3075
07-Jun-2025,1,27,11,30,46,39,17,56,10,Lancelot,3074
04-Jun-2025,1,9,45,32,2,19,57,31,10,Lancelot,3073
31-May-2025,1,20,33,12,11,16,8,52,9,Guinevere,3072
28-May-2025,1,8,31,28,49,55,33,13,5,Guinevere,3071
24-May-2025,1,9,13,12,26,38,40,4,8,Guinevere,3070
21-May-2025,1,16,36,20,30,5,6,2,8,Guinevere,3069
17-May-2025,1,34,24,18,51,47,35,26,7,Lancelot,3068
14-May-2025,1,14,34,2,52,48,37,29,7,Lancelot,3067
10-May-2025,1,27,13,36,14,33,15,18,6,Lancelot,3066
07-May-2025,1,12,24,21,3,45,41,20,6,Lancelot,3065
03-May-2025,1,18,23,41,17,38,47,9,5,Guinevere,3064
30-Apr-2025,1,16,40,42,28,23,55,44,5,Guinevere,3063
26-Apr-2025,1,32,36,59,7,8,11,21,8,Guinevere,3062
23-Apr-2025,1,42,1,37,24,28,26,44,8,Guinevere,3061
19-Apr-2025,1,13,11,1,37,2,30,33,7,Lancelot,3060
16-Apr-2025,1,48,57,39,27,36,59,45,7,Lancelot,3059
12-Apr-2025,1,4,55,12,10,22,53,31,6,Lancelot,3058
09-Apr-2025,1,12,46,14,28,31,33,43,6,Lancelot,3057
05-Apr-2025,1,33,59,57,53,10,26,18,5,Guinevere,3056
02-Apr-2025,1,40,43,36,30,5,41,53,5,Guinevere,3055
29-Mar-2025,1,1,7,35,57,17,43,19,8,Guinevere,3054
26-Mar-2025,1,18,22,17,34,53,58,14,8,Guinevere,3053
22-Mar-2025,1,10,54,38,55,11,34,26,7,Lancelot,3052
19-Mar-2025,1,35,6,15,27,43,41,28,7,Lancelot,3051
15-Mar-2025,1,5,31,6,33,20,4,28,6,Lancelot,3050
12-Mar-2025,1,4,52,42,38,56,58,44,6,Lancelot,3049
08-Mar-2025,1,44,29,1,42,19,33,21,5,Guinevere,3048
05-Mar-2025,1,44,43,8,30,19,18,58,5,Guinevere,3047
01-Mar-2025,1,6,14,19,41,11,43,53,4,Guinevere,3046
26-Feb-2025,1,4,1,10,40,26,31,24,4,Guinevere,3045
22-Feb-2025,1,7,33,3,9,29,51,5,3,Lancelot,3044
19-Feb-2025,1,7,40,39,43,5,37,8,3,Lancelot,3043
15-Feb-2025,1,52,17,31,46,57,39,1,2,Lancelot,3042
12-Feb-2025,1,33,56,8,34,59,50,17,2,Lancelot,3041
08-Feb-2025,1,6,47,36,28,52,45,51,1,Guinevere,3040
05-Feb-2025,1,34,27,54,26,51,41,52,1,Guinevere,3039
01-Feb-2025,1,13,25,35,32,30,1,2,4,Guinevere,3038
29-Jan-2025,1,29,39,38,31,14,7,56,4,Guinevere,3037
25-Jan-2025,1,24,38,23,14,54,32,50,3,Lancelot,3036
22-Jan-2025,1,2,20,12,47,57,5,43,3,Lancelot,3035
18-Jan-2025,1,39,29,2,13,24,32,46,2,Lancelot,3034
15-Jan-2025,1,33,55,34,57,38,11,20,2,Lancelot,3033
11-Jan-2025,1,12,28,10,6,29,2,57,1,Guinevere,3032
08-Jan-2025,1,17,46,20,7,24,27,21,1,Guinevere,3031
04-Jan-2025,1,19,35,22,24,27,16,28,4,Guinevere,3030
01-Jan-2025,1,42,35,54,18,38,31,41,4,Guinevere,3029
28-Dec-2024,1,16,34,53,54,28,40,55,3,Lancelot,3028
25-Dec-2024,1,47,35,17,9,51,15,31,3,Lancelot,3027
21-Dec-2024,1,16,4,54,10,3,40,8,2,Lancelot,3026
18-Dec-2024,1,18,28,39,20,58,52,38,2,Lancelot,3025
14-Dec-2024,1,12,19,17,11,1,54,3,1,Guinevere,3024
11-Dec-2024,1,52,49,35,2,36,32,19,1,Guinevere,3023
07-Dec-2024,1,12,9,35,42,26,14,18,10,Guinevere,3022
04-Dec-2024,1,35,39,25,12,19,37,3,10,Merlin,3021
30-Nov-2024,1,14,38,24,19,22,21,17,9,Arthur,3020
27-Nov-2024,1,59,38,31,15,42,35,6,9,Arthur,3019
23-Nov-2024,1,33,8,44,3,13,39,56,11,Arthur,3018
20-Nov-2024,1,33,7,2,37,56,27,30,11,Arthur,3017
16-Nov-2024,1,16,12,59,31,38,58,41,11,Merlin,3016
13-Nov-2024,1,11,41,28,12,29,54,17,11,Merlin,3015
09-Nov-2024,1,44,36,56,43,50,33,18,10,Merlin,3014
06-Nov-2024,1,6,19,3,14,35,32,17,10,Merlin,3013
02-Nov-2024,1,16,50,11,35,12,19,34,9,Arthur,3012
30-Oct-2024,1,41,57,27,36,54,43,7,9,Arthur,3011
26-Oct-2024,1,30,47,41,44,16,9,13,11,Arthur,3010
23-Oct-2024,1,23,27,45,51,9,6,47,11,Arthur,3009
19-Oct-2024,1,43,54,47,48,22,44,25,10,Merlin,3008
16-Oct-2024,1,11,29,41,42,48,9,43,10,Merlin,3007
12-Oct-2024,1,11,2,13,39,17,41,37,9,Merlin,3006
09-Oct-2024,1,4,55,20,41,56,7,48,9,Merlin,3005
05-Oct-2024,1,13,12,44,20,8,49,19,11,Arthur,3004
02-Oct-2024,1,20,59,21,6,4,5,2,11,Arthur,3003
28-Sep-2024,1,54,39,38,23,18,36,12,10,Arthur,3002
25-Sep-2024,1,4,57,3,55,1,14,2,10,Arthur,3001
21-Sep-2024,1,26,48,5,49,57,17,56,9,Merlin,3000
18-Sep-2024,1,20,57,51,33,7,50,44,9,Merlin,2999
14-Sep-2024,1,55,49,38,27,21,47,54,8,Merlin,2998
11-Sep-2024,1,10,23,53,41,57,3,28,8,Merlin,2997
07-Sep-2024,1,38,37,33,13,32,50,2,8,Arthur,2996
04-Sep-2024,1,41,3,29,6,15,25,17,8,Arthur,2995
31-Aug-2024,1,3,2,29,48,52,45,54,7,Arthur,2994
28-Aug-2024,1,10,25,49,29,53,4,30,7,Arthur,2993
24-Aug-2024,1,17,43,4,30,39,34,45,6,Merlin,2992
21-Aug-2024,1,42,9,23,57,37,53,58,6,Merlin,2991
17-Aug-2024,1,3,52,10,18,6,59,49,5,Merlin,2990
14-Aug-2024,1,36,15,30,45,7,48,27,5,Merlin,2989
10-Aug-2024,1,48,2,59,25,42,40,12,8,Arthur,2988
07-Aug-2024,1,49,56,42,22,10,11,58,8,Arthur,2987
03-Aug-2024,1,20,28,26,6,19,45,7,7,Arthur,2986
31-Jul-2024,1,16,33,21,52,58,12,37,7,Arthur,2985
27-Jul-2024,1,25,33,40,27,3,45,58,6,Merlin,2984
24-Jul-2024,1,34,31,17,3,29,23,46,6,Merlin,2983
20-Jul-2024,1,41,19,58,22,55,9,44,5,Merlin,2982
17-Jul-2024,1,49,44,7,45,32,2,39,5,Merlin,2981
13-Jul-2024,1,49,37,27,22,38,51,59,7,Arthur,2980
10-Jul-2024,1,19,48,26,13,9,8,54,7,Arthur,2979
06-Jul-2024,1,37,47,59,18,24,11,13,6,Arthur,2978
03-Jul-2024,1,42,46,8,50,1,58,51,6,Arthur,2977
29-Jun-2024,1,19,7,25,29,31,11,6,5,Merlin,2976
26-Jun-2024,1,27,36,37,8,34,56,54,5,Merlin,2975
22-Jun-2024,1,9,58,32,5,44,18,34,4,Merlin,2974
19-Jun-2024,1,52,7,3,13,15,21,23,4,Merlin,2973
15-Jun-2024,1,9,1,25,39,29,34,22,3,Arthur,2972
12-Jun-2024,1,59,40,13,42,41,51,5,3,Arthur,2971
08-Jun-2024,1,41,23,7,24,10,3,59,2,Arthur,2970
05-Jun-2024,1,13,9,1,58,21,33,28,2,Arthur,2969
01-Jun-2024,1,16,11,6,21,43,50,9,1,Lancelot,2968
29-May-2024,1,8,1,22,56,25,16,4,1,Lancelot,2967
25-May-2024,1,28,58,6,40,53,30,13,4,Guinevere,2966
22-May-2024,1,35,31,43,7,6,25,12,4,Guinevere,2965
18-May-2024,1,13,48,9,45,46,22,29,3,Guinevere,2964
15-May-2024,1,17,11,52,53,47,25,37,3,Guinevere,2963
11-May-2024,1,34,12,13,50,51,14,22,2,Lancelot,2962
08-May-2024,1,38,4,52,34,13,43,36,2,Lancelot,2961
04-May-2024,1,16,2,7,59,31,54,10,1,Lancelot,2960
01-May-2024,1,22,13,53,44,16,21,36,1,Lancelot,2959
27-Apr-2024,1,57,2,18,25,15,58,53,4,Guinevere,2958
24-Apr-2024,1,14,59,56,53,8,18,40,4,Guinevere,2957
20-Apr-2024,1,54,29,52,26,5,43,32,3,Guinevere,2956
17-Apr-2024,1,31,11,28,26,35,39,40,3,Guinevere,2955
13-Apr-2024,1,45,48,31,17,26,33,47,2,Lancelot,2954
10-Apr-2024,1,56,9,24,19,39,31,55,2,Lancelot,2953
06-Apr-2024,1,14,10,29,20,12,17,33,1,Lancelot,2952
03-Apr-2024,1,3,41,48,38,46,32,40,1,Lancelot,2951
30-Mar-2024,1,16,15,19,37,49,51,17,11,Lancelot,2950
27-Mar-2024,1,1,27,3,48,42,22,9,11,Guinevere,2949
23-Mar-2024,1,7,50,43,41,45,15,28,10,Guinevere,2948
20-Mar-2024,1,10,25,29,14,8,35,32,10,Guinevere,2947
16-Mar-2024,1,44,11,45,35,18,16,51,9,Lancelot,2946
13-Mar-2024,1,35,34,26,37,24,28,48,9,Lancelot,2945
09-Mar-2024,1,53,17,33,15,14,55,43,11,Lancelot,2944
06-Mar-2024,1,58,32,11,37,48,7,28,11,Lancelot,2943
02-Mar-2024,1,48,2,59,40,20,34,6,10,Guinevere,2942
28-Feb-2024,1,50,44,45,39,12,21,51,10,Guinevere,2941
24-Feb-2024,1,56,4,20,36,3,11,28,9,Guinevere,2940
21-Feb-2024,1,50,27,58,25,32,54,55,9,Guinevere,2939
17-Feb-2024,1,19,42,41,5,39,28,43,11,Lancelot,2938
14-Feb-2024,1,32,45,54,36,11,9,24,11,Lancelot,2937
10-Feb-2024,1,19,53,24,29,4,43,34,10,Lancelot,2936
07-Feb-2024,1,40,1,51,2,17,33,42,10,Lancelot,2935
03-Feb-2024,1,29,25,8,50,19,28,46,9,Guinevere,2934
31-Jan-2024,1,22,54,11,5,10,27,55,9,Guinevere,2933
27-Jan-2024,1,22,18,34,47,58,20,16,11,Guinevere,2932
24-Jan-2024,1,22,49,57,6,27,46,17,11,Guinevere,2931
20-Jan-2024,1,29,49,20,14,7,38,42,10,Lancelot,2930
17-Jan-2024,1,48,30,28,10,44,24,35,10,Lancelot,2929
13-Jan-2024,1,22,46,8,48,44,27,7,9,Lancelot,2928
10-Jan-2024,1,53,5,25,1,15,45,2,9,Lancelot,2927
06-Jan-2024,1,23,2,54,43,53,38,41,8,Guinevere,2926
03-Jan-2024,1,19,1,38,5,59,27,55,8,Guinevere,2925
30-Dec-2023,1,49,26,29,15,37,53,38,7,Guinevere,2924
27-Dec-2023,1,23,2,24,29,33,36,42,7,Guinevere,2923
23-Dec-2023,1,40,56,31,29,17,47,44,6,Lancelot,2922
20-Dec-2023,1,11,46,4,8,53,50,16,6,Lancelot,2921
16-Dec-2023,1,4,30,23,50,12,56,8,5,Lancelot,2920
13-Dec-2023,1,48,34,28,43,31,10,57,5,Lancelot,2919
09-Dec-2023,1,15,33,59,27,44,46,30,8,Arthur,2918
06-Dec-2023,1,2,55,3,43,6,22,47,8,Arthur,2917
02-Dec-2023,1,26,33,2,4,11,23,40,7,Arthur,2916
29-Nov-2023,1,35,49,19,42,38,31,13,7,Arthur,2915
25-Nov-2023,1,9,5,46,31,34,48,49,6,Arthur,2914
22-Nov-2023,1,49,14,55,26,56,9,28,6,Arthur,2913
18-Nov-2023,1,32,47,23,22,11,3,56,5,Arthur,2912
15-Nov-2023,1,40,55,6,16,7,33,4,5,Arthur,2911
11-Nov-2023,1,28,26,34,42,12,41,32,8,Arthur,2910
08-Nov-2023,1,7,46,17,12,53,1,24,8,Arthur,2909
04-Nov-2023,1,37,39,20,57,52,54,43,7,Arthur,2908
01-Nov-2023,1,37,36,15,43,42,9,50,7,Arthur,2907
28-Oct-2023,1,42,50,25,28,37,38,6,6,Merlin,2906
25-Oct-2023,1,47,16,33,20,41,59,21,6,Merlin,2905
21-Oct-2023,1,15,37,14,43,54,26,6,5,Merlin,2904
18-Oct-2023,1,8,48,6,34,20,7,38,5,Merlin,2903
14-Oct-2023,1,31,4,28,27,51,57,48,4,Arthur,2902
11-Oct-2023,1,18,25,3,15,23,8,58,4,Arthur,2901
07-Oct-2023,1,20,47,10,22,16,52,26,3,Arthur,2900
04-Oct-2023,1,55,42,53,3,8,37,46,3,Arthur,2899
30-Sep-2023,1,40,14,8,24,1,20,52,2,Merlin,2898
27-Sep-2023,1,31,11,8,20,44,10,28,2,Merlin,2897
23-Sep-2023,1,34,58,12,37,41,55,13,1,Merlin,2896
20-Sep-2023,1,52,9,42,37,18,34,50,1,Merlin,2895
16-Sep-2023,1,31,17,7,22,24,59,50,4,Arthur,2894
13-Sep-2023,1,7,23,42,29,31,10,6,4,Arthur,2893
09-Sep-2023,1,43,39,59,49,15,20,56,3,Arthur,2892
06-Sep-2023,1,53,12,22,54,38,3,28,3,Arthur,2891
02-Sep-2023,1,9,46,55,11,49,53,16,2,Merlin,2890
30-Aug-2023,1,19,59,20,48,25,11,41,2,Merlin,2889
26-Aug-2023,1,13,42,12,41,50,45,43,1,Merlin,2888
23-Aug-2023,1,23,16,57,32,13,37,15,1,Merlin,2887
19-Aug-2023,1,31,28,7,37,17,2,8,4,Arthur,2886
16-Aug-2023,1,8,51,10,43,32,59,26,4,Arthur,2885
12-Aug-2023,1,39,17,25,24,21,14,44,3,Arthur,2884
09-Aug-2023,1,34,16,10,29,48,24,54,3,Arthur,2883
05-Aug-2023,1,22,5,38,50,28,58,2,2,Merlin,2882
02-Aug-2023,1,21,23,49,5,10,35,16,2,Merlin,2881
29-Jul-2023,1,20,56,37,8,21,33,25,11,Merlin,2880
26-Jul-2023,1,10,19,27,29,12,50,33,11,Merlin,2879
22-Jul-2023,1,14,11,46,35,41,20,2,10,Arthur,2878
19-Jul-2023,1,47,41,34,30,39,12,40,10,Arthur,2877
15-Jul-2023,1,46,10,11,58,37,45,30,9,Arthur,2876
12-Jul-2023,1,57,50,3,30,52,44,45,9,Arthur,2875
08-Jul-2023,1,59,23,6,18,15,24,14,11,Merlin,2874
05-Jul-2023,1,44,47,10,16,38,15,12,11,Merlin,2873
01-Jul-2023,1,1,35,12,22,20,24,34,10,Merlin,2872
28-Jun-2023,1,31,32,33,40,56,59,20,10,Merlin,2871
24-Jun-2023,1,22,17,39,36,53,18,31,9,Arthur,2870
21-Jun-2023,1,7,15,8,4,3,1,54,9,Arthur,2869
17-Jun-2023,1,46,13,32,11,28,47,21,11,Arthur,2868
14-Jun-2023,1,56,47,23,16,21,2,3,11,Arthur,2867
10-Jun-2023,1,39,29,36,13,56,44,3,10,Merlin,2866
07-Jun-2023,1,4,56,3,55,35,12,50,10,Merlin,2865
03-Jun-2023,1,22,4,59,20,15,13,17,9,Merlin,2864
31-May-2023,1,41,33,24,19,28,54,48,5,Guinevere,2863
27-May-2023,1,22,5,42,37,49,14,54,8,Lancelot,2862
24-May-2023,1,4,14,3,13,36,10,18,8,Lancelot,2861
20-May-2023,1,7,36,44,34,24,51,20,7,Lancelot,2860
17-May-2023,1,1,51,2,9,4,50,17,7,Lancelot,2859
13-May-2023,1,13,58,32,42,2,54,28,6,Guinevere,2858
10-May-2023,1,9,57,45,22,15,52,12,6,Guinevere,2857
06-May-2023,1,33,36,55,54,3,23,7,5,Guinevere,2856
03-May-2023,1,28,12,42,37,33,49,25,5,Guinevere,2855
29-Apr-2023,1,56,12,41,35,44,31,59,8,Lancelot,2854
26-Apr-2023,1,26,29,57,27,19,53,17,8,Lancelot,2853
22-Apr-2023,1,35,22,29,51,8,31,46,7,Lancelot,2852
19-Apr-2023,1,22,7,58,25,47,54,37,7,Lancelot,2851
15-Apr-2023,1,17,58,21,35,3,13,29,6,Guinevere,2850
12-Apr-2023,1,29,39,16,51,12,45,5,6,Guinevere,2849
08-Apr-2023,1,19,4,24,20,12,42,17,5,Guinevere,2848
05-Apr-2023,1,29,4,39,52,30,18,46,5,Guinevere,2847
01-Apr-2023,1,3,43,40,13,7,47,49,8,Lancelot,2846
29-Mar-2023,1,32,42,27,52,10,24,37,8,Lancelot,2845
25-Mar-2023,1,11,43,30,40,13,44,28,7,Lancelot,2844
22-Mar-2023,1,27,42,33,5,37,58,10,7,Lancelot,2843
18-Mar-2023,1,54,46,59,13,22,39,58,6,Guinevere,2842
15-Mar-2023,1,43,2,24,37,12,39,36,6,Guinevere,2841
11-Mar-2023,1,27,41,28,50,1,19,49,5,Guinevere,2840
08-Mar-2023,1,41,49,29,59,57,5,22,5,Guinevere,2839
04-Mar-2023,1,33,16,30,24,44,6,7,4,Lancelot,2838
01-Mar-2023,1,39,48,36,5,49,28,35,4,Lancelot,2837
25-Feb-2023,1,32,31,53,45,22,50,35,3,Lancelot,2836
22-Feb-2023,1,11,34,39,13,23,15,9,3,Lancelot,2835
18-Feb-2023,1,35,49,9,52,58,53,29,2,Guinevere,2834
15-Feb-2023,1,50,10,56,42,34,20,14,2,Guinevere,2833
11-Feb-2023,1,46,5,57,47,37,3,50,1,Guinevere,2832
08-Feb-2023,1,53,42,28,33,26,13,55,1,Guinevere,2831
04-Feb-2023,1,27,2,23,31,5,58,56,4,Lancelot,2830
01-Feb-2023,1,59,16,53,31,28,29,34,4,Lancelot,2829
28-Jan-2023,1,20,5,30,8,23,50,25,3,Lancelot,2828
25-Jan-2023,1,23,4,50,7,19,58,8,3,Lancelot,2827
21-Jan-2023,1,30,57,9,21,7,14,18,2,Guinevere,2826
18-Jan-2023,1,44,37,23,11,36,26,53,2,Guinevere,2825
14-Jan-2023,1,47,54,37,39,9,33,24,1,Guinevere,2824
11-Jan-2023,1,4,56,54,19,46,22,21,1,Guinevere,2823
07-Jan-2023,1,11,6,45,33,57,7,18,4,Lancelot,2822
04-Jan-2023,1,58,9,42,1,4,32,26,4,Lancelot,2821
31-Dec-2022,1,34,57,27,58,56,47,19,3,Lancelot,2820
28-Dec-2022,1,5,31,57,48,27,19,30,3,Lancelot,2819
24-Dec-2022,1,59,8,1,46,14,49,19,2,Guinevere,2818
21-Dec-2022,1,38,19,53,54,34,5,31,2,Guinevere,2817
17-Dec-2022,1,49,38,56,15,39,22,32,1,Guinevere,2816
14-Dec-2022,1,39,41,44,49,50,16,6,1,Guinevere,2815
